"","rawNames","newNames","nullRate"
"Population (000s)","Population (000s)","Var_1","0.0275590551181102"
"New arrivals (immigrants) Nos.","New arrivals (immigrants) Nos.","Var_2","0.015748031496063"
"Employed - full-time Persons ('000)","Employed - full-time Persons ('000)","Var_3","0"
"Employed - Total Persons ('000)","Employed - Total Persons ('000)","Var_4","0"
"Unemployed - looking for full-time work Persons ('000)","Unemployed - looking for full-time work Persons ('000)","Var_5","0"
"Unemployment (% )","Unemployment (% )","Var_6","0"
"NAB Business Conditions","NAB Business Conditions","Var_7","0.145669291338583"
"NAB Business Confidence","NAB Business Confidence","Var_8","0.145669291338583"
"Gross disposable household income (AUD bn)","Gross disposable household income (AUD bn)","Var_9","0.015748031496063"
"Avg. weekly Earnings; Persons; Full Time; Adult; Ordinary time earnings (AUD)","Avg. weekly Earnings; Persons; Full Time; Adult; Ordinary time earnings (AUD)","Var_10","0.015748031496063"
"Purchase of vehicles: Chain volume measures (AUD bn)","Purchase of vehicles: Chain volume measures (AUD bn)","Var_11","0.015748031496063"
"Rent and other dwelling services: Chain volume measures (AUD bn)","Rent and other dwelling services: Chain volume measures (AUD bn)","Var_12","0.015748031496063"
"Recreation and culture: Chain volume measures (AUD bn)","Recreation and culture: Chain volume measures (AUD bn)","Var_13","0.015748031496063"
"Food: Chain volume measures (AUD bn)","Food: Chain volume measures (AUD bn)","Var_14","0.015748031496063"
"Final Consumption Expenduture: Chain volume measures (AUD bn)","Final Consumption Expenduture: Chain volume measures (AUD bn)","Var_15","0.015748031496063"
"Total Liabilities (including share capital) (AUD bn) ","Total Liabilities (including share capital) (AUD bn) ","Var_16","0.062992125984252"
"Total Liabilities - Loans and placements (AUD bn)","Total Liabilities - Loans and placements (AUD bn)","Var_17","0.062992125984252"
"Interest Rates (%)","Interest Rates (%)","Var_18","0"
"New Motor Cars and station wagons Personal Finance (AUD bn)","New Motor Cars and station wagons Personal Finance (AUD bn)","Var_19","0.0078740157480315"
"Used Motor Cars and station wagons (AUD bn)","Used Motor Cars and station wagons (AUD bn)","Var_20","0.0078740157480315"
"Aust. Passenger vehicles nos.","Aust. Passenger vehicles nos.","Var_21","0.00393700787401575"
"Aust. Sports utility vehicles nos. ","Aust. Sports utility vehicles nos. ","Var_22","0.00393700787401575"
"Average Age of Motor Vehicles (years)","Average Age of Motor Vehicles (years)","Var_23","0.015748031496063"
"Oil Prices (USD / bbl)","Oil Prices (USD / bbl)","Var_24","0"
"AUDUSD","AUDUSD","Var_25","0"
"AUDJPY","AUDJPY","Var_26","0"
"AUDEUR","AUDEUR","Var_27","0.228346456692913"
"Trade Weighted Index","Trade Weighted Index","Var_28","0"
"Total New Vehicle Sales (000)","Total New Vehicle Sales (000)","Target","0.00393700787401575"
