"Var1","Var2","Granger_V2","Instant_V2","Granger_V1","Instant_V1"
"Target","Var_1","0.460473377779471","0.643294241289016","0.333275211534037","0.643294241289016"
"Target","Var_2","0.0126756184495297","0.874796144356311","0.00175096364014116","0.874796144356311"
"Target","Var_3","0.393993482417832","0.157828230452916","0.661951839244778","0.157828230452916"
"Target","Var_4","0.0150687660854405","0.424293252881013","0.00194000222920487","0.424293252881013"
"Target","Var_5","0.535516689671133","0.44508526033204","0.000870352723606249","0.44508526033204"
"Target","Var_6","0.644271114584159","0.648521240138381","0","0.648521240138381"
"Target","Var_7","0.868245876445425","0.994814206776593","0.382102910992216","0.994814206776593"
"Target","Var_8","0.909898467303207","0.116557747241954","0.84440414348674","0.116557747241954"
"Target","Var_9","0.432290435276815","0.609394042969079","0.0880344937678703","0.609394042969079"
"Target","Var_10","0.91855617358144","0.986590113341685","0.141995466186289","0.986590113341685"
"Target","Var_11","2.27537988450877e-11","0.738406168051175","0.0126008007907534","0.738406168051175"
"Target","Var_12","0.000146316733953933","0.87197280661237","0.183117101780718","0.87197280661237"
"Target","Var_13","0.0308608274806006","0.629978829101075","0.573728585389194","0.629978829101075"
"Target","Var_14","0.634429352485073","0.571165705467125","0.174261307438367","0.571165705467125"
"Target","Var_15","0.566993596509816","0.0116705151488214","0.240428392664024","0.0116705151488214"
"Target","Var_16","0.99957478133868","0.126756266929571","0.811973680293809","0.126756266929571"
"Target","Var_17","0.0131015783066977","0.000905734735602515","0.160250934292194","0.000905734735602515"
"Target","Var_18","0.419623739939703","0.555569674893209","0.0582635308927055","0.555569674893209"
"Target","Var_19","0.130938117118345","0.453052856916461","0.000510162916362633","0.453052856916461"
"Target","Var_20","0.0411806455637853","0.586887703406451","0.530713851260651","0.586887703406451"
"Target","Var_21","2.55666361170803e-06","2.84072187994866e-09","0.000769576382164239","2.84072187994866e-09"
"Target","Var_22","0.405469912637379","0.00025424292111087","0.0377706769197548","0.00025424292111087"
"Target","Var_23","0.324631059176016","0.411503910270788","0.401722132550312","0.411503910270788"
"Target","Var_24","0.051238518008762","0.0510421523640673","0.0282138103314997","0.0510421523640673"
"Target","Var_25","0.00708737673192061","0.673112748008182","0.27826947120541","0.673112748008182"
"Target","Var_26","0.139997001599957","0.130100964003271","0.277405791780512","0.130100964003271"
"Target","Var_27","0.0571714210058085","0.163430112052348","0.0039557436062202","0.163430112052348"
"Target","Var_28","0.0135016395591503","0.430512888074415","0.146831397123461","0.430512888074415"
