"","x"
"ar1",1.43318558234155
"ar2",-0.580635035118938
"sar1",0.273508850042705
"sar2",0.47336876069237
"intercept",242.909514131562
"Var_1",-0.0173499425994734
"Var_2",-8.78911797634111e-05
"Var_3",-0.000204282457456623
"Var_4",-0.00299425718636991
"Var_5",0.000327561937498581
"Var_6",-0.123888998067347
"Var_7",-0.00668332759760607
"Var_8",0.00394473211530832
"Var_9",-0.235016604100223
"Var_10",0.106702420592891
"Var_11",32.6987597225904
"Var_12",-11.213629509996
"Var_13",-2.88514771766001
"Var_14",-2.50802226580846
"Var_15",2.42008236201603
"Var_16",0.184387248243545
"Var_17",-0.158620678386712
"Var_18",-0.176652192133224
"Var_19",-2.72368435520125
"Var_20",-4.12964180335305
"Var_21",6.88218008817947e-05
"Var_22",5.87199906757403e-05
"Var_23",8.07997828351705
"Var_24",-0.00731646478804929
"Var_25",-2.20482238230192
"Var_26",0.00545097259237184
"Var_27",3.75269402956675
"Var_28",0.0165208564714922
