"V1","V2","V3","V4","V5"
"lm, Var_79 ~ Var_6 + Var_30 + Var_91 + Var_220 + Var_221, dt[, -c(1, 2, 5, 9, 11, 12, 14)]","F(5,29)","Prob > P","R-Squared","Adj-R2"
"","102.424","0.000","0.946","0.937"
"","","","",""
"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)","87.665","43.564"," 2.012"," 0.054"
"Var_6","-0.006"," 0.001","-3.868"," 0.001"
"Var_30"," 0.001"," 0.000"," 3.243"," 0.003"
"Var_91"," 0.799"," 0.396"," 2.016"," 0.053"
"Var_220"," 4.117"," 1.937"," 2.126"," 0.042"
"Var_221","-3.072"," 1.644","-1.869"," 0.072"
